year_,fire_name,alarm_date,cause,gis_acres,shape_area,cause_desc
2007,CEDAR,2007-08-12,9,29.605562210082997,119809.45602909,Miscellaneous
2007,CHERRY,2007-08-29,1,101.000190734863,408733.27040321706,Lightning
2007,CLOVER 2,2007-08-28,1,20.161188125610398,81589.4320415582,Lightning
2007,CABLE,2007-09-05,1,12.577146530151401,50897.9077917776,Lightning
2007,DAVIS,2007-07-05,1,30.2669353485107,122485.94360043199,Lightning
2007,LAGO,2007-07-01,2,46.93208312988279,189927.395292949,Equipment Use
2007,LINDSEY,2007-09-09,4,23.7127361297607,95962.0411089241,Campfire
2007,LOWE,2007-08-26,9,14.3277416229248,57982.3124677608,Miscellaneous
2007,RIDGE,2007-04-06,1,44.9054985046387,181726.099088655,Lightning
2007,ROUSE,2007-06-18,9,46.790367126464794,189353.891124383,Miscellaneous
2007,VEHICLE,2007-08-03,2,24.9001617431641,100767.379613755,Equipment Use
2007,WHEELER,2007-07-05,1,22331.923828125,90374085.974391,Lightning
2007,PAST,2007-08-19,9,84.95945739746091,343818.711034855,Miscellaneous
2007,BUTLER #2,2007-09-14,9,13736.2705078125,55588714.3368202,Miscellaneous
2007,CAJON,2007-10-22,9,256.541534423828,1038186.70756541,Miscellaneous
2007,KING CREEK,2007-07-10,1,10477.37890625,42400448.157331,Lightning
2007,LITTLE GRIDER,2007-07-10,1,2172.78076171875,8792932.16034444,Lightning
2007,TITUS,2007-07-10,1,2177.28466796875,8811158.11792054,Lightning
2007,TOM MARTIN,2007-07-10,1,31.287971496582,126617.92761946,Lightning
2007,WINGATE,2007-07-10,1,931.9898071289059,3771628.8145022,Lightning
2007,RAILROAD,2007-05-23,6,84.6357040405273,342508.543488584,Railroad
2007,RAILDOAD 2,2007-05-24,6,13.7325115203857,55573.50380208441,Railroad
2007,SHOOTING,2007-06-03,9,14.9672679901123,60570.3837997253,Miscellaneous
2007,ROCK,2007-08-26,1,85.7309875488281,346940.990200921,Lightning
2007,RODGE,2007-06-16,7,9.25723457336426,37462.700563889,Arson
2007,CLIFTON,2007-05-10,5,77.2732620239258,312713.800020773,Debris
2007,TIONESTA,2007-03-07,4,19.6306266784668,79442.326152925,Campfire
2007,MINE,2007-08-29,1,40.200309753418004,162684.88941524,Lightning
2007,RANCH,2007-06-30,9,394.06637573242205,1594730.03507262,Miscellaneous
2007,RIVER,2007-11-29,9,11.6417980194092,47112.6858527455,Miscellaneous
2007,SKINNER,2007-05-27,9,18.1262989044189,73354.5281468647,Miscellaneous
2007,DAILY,2007-07-29,14,224.31750488281202,907780.75946035,Unknown/Unidentified
2007,YOLLA,2007-04-30,14,56.657199859619105,229283.55423313897,Unknown/Unidentified
2007,WHITMORE 3,2007-10-09,2,43.3759841918945,175536.380674018,Equipment Use
2007,TORRI,2007-11-08,9,19.520587921142603,78997.0188769747,Miscellaneous
2007,JUNE,2007-07-10,1,679.6121826171881,2750292.87630472,Lightning
2007,LOOKOUT,2007-06-07,1,73.043212890625,295595.390823737,Lightning
2007,HARRIS 2,2007-10-21,14,90728.328125,367164512.848971,Unknown/Unidentified
2007,INGALLS,2007-10-21,5,18.245937347412102,73838.6914008403,Debris
2007,BUMMER,2007-07-24,1,60.4099197387695,244470.275777007,Lightning
2007,DOME2,2007-08-10,2,137.63342285156202,556982.6987573489,Equipment Use
2007,NIAGARA,2007-08-09,4,161.38528442382798,653103.0571186029,Campfire
2007,JUPITER,2007-10-28,5,13.4021329879761,54236.506083973,Debris
2005,FLUME,2005-07-03,8,10.175337791442901,41178.1292046215,Playing with Fire
2005,SIXTH,2005-07-12,14,73.5333938598633,297579.08197436103,Unknown/Unidentified
2005,AERA,2005-08-16,11,10.1814222335815,41202.7545970432,Power Line
2005,EAGLE,2005-08-23,1,69.65048980712889,281865.522274853,Lightning
2005,WELLS,2005-08-27,1,120.206336975098,486457.784120506,Lightning
2005,PENO BLANC,2005-08-07,2,49.648834228515604,200921.702055004,Equipment Use
2005,SANDRIDGE,2005-08-04,14,18.6307258605957,75395.8720821028,Unknown/Unidentified
2005,CREEKSIDE,2005-08-12,8,23.0332908630371,93212.42107952731,Playing with Fire
2005,CARSON,2005-09-10,2,12.139244079589801,49125.7778749805,Equipment Use
2005,PENN,2005-06-25,11,60.7712326049805,245932.460280545,Power Line
2005,MARSHES,2005-07-01,11,76.2978973388672,308766.629752291,Power Line
2005,GOLDEN,2005-08-05,2,74.7607955932617,302546.213401311,Equipment Use
2005,RECHE,2005-06-29,14,9.165632247924801,37091.997683415495,Unknown/Unidentified
2005,PIONEER,2005-06-19,14,1877.53869628906,7598129.4636043,Unknown/Unidentified
